Borough,Grade,Year,Category_Econ,Number Tested_Econ,Mean Scale Score_Econ,Category_Ethnicity,Number Tested_Ethnicity,Mean Scale Score_Ethnicity,Category,Number Tested,Mean Scale Score
BRONX,6,2024,Econ Disadv,7867,436,Hispanic,6829,435,SWD,2813,424.0
BRONX,6,2024,Econ Disadv,7867,436,Multi-Racial,61,441,Not SWD,7456,441.0
BRONX,6,2024,Econ Disadv,7867,436,Multi-Racial,61,441,SWD,2813,424.0
BRONX,6,2024,Econ Disadv,7867,436,Native American,99,439,Not SWD,7456,441.0
BRONX,6,2024,Econ Disadv,7867,436,Native American,99,439,SWD,2813,424.0
BRONX,6,2024,Econ Disadv,7867,436,White,471,445,Not SWD,7456,441.0
BRONX,6,2024,Econ Disadv,7867,436,White,471,445,SWD,2813,424.0
BRONX,6,2024,Not Econ Disadv,2402,440,Asian,530,451,Not SWD,7456,441.0
BRONX,6,2024,Not Econ Disadv,2402,440,Asian,530,451,SWD,2813,424.0
BRONX,6,2024,Not Econ Disadv,2402,440,Black,2275,436,Not SWD,7456,441.0
BRONX,6,2024,Not Econ Disadv,2402,440,Black,2275,436,SWD,2813,424.0
BRONX,6,2024,Not Econ Disadv,2402,440,Hispanic,6829,435,Not SWD,7456,441.0
BRONX,6,2024,Not Econ Disadv,2402,440,Hispanic,6829,435,SWD,2813,424.0
BRONX,6,2024,Not Econ Disadv,2402,440,Multi-Racial,61,441,Not SWD,7456,441.0
BRONX,6,2024,Not Econ Disadv,2402,440,Multi-Racial,61,441,SWD,2813,424.0
BRONX,6,2024,Not Econ Disadv,2402,440,Native American,99,439,Not SWD,7456,441.0
BRONX,6,2024,Not Econ Disadv,2402,440,Native American,99,439,SWD,2813,424.0
BRONX,6,2024,Not Econ Disadv,2402,440,White,471,445,Not SWD,7456,441.0
BRONX,6,2024,Not Econ Disadv,2402,440,White,471,445,SWD,2813,424.0
BRONX,7,2024,Econ Disadv,8853,444,Asian,507,459,Not SWD,7763,448.0
BRONX,7,2024,Econ Disadv,8853,444,Asian,507,459,SWD,2654,432.0
BRONX,7,2024,Econ Disadv,8853,444,Black,2441,444,Not SWD,7763,448.0
BRONX,7,2024,Econ Disadv,8853,444,Black,2441,444,SWD,2654,432.0
BRONX,7,2024,Econ Disadv,8853,444,Hispanic,6852,442,Not SWD,7763,448.0
BRONX,7,2024,Econ Disadv,8853,444,Hispanic,6852,442,SWD,2654,432.0
BRONX,7,2024,Econ Disadv,8853,444,Multi-Racial,59,456,Not SWD,7763,448.0
BRONX,7,2024,Econ Disadv,8853,444,Multi-Racial,59,456,SWD,2654,432.0
BRONX,7,2024,Econ Disadv,8853,444,Native American,137,444,Not SWD,7763,448.0
BRONX,7,2024,Econ Disadv,8853,444,Native American,137,444,SWD,2654,432.0
BRONX,7,2024,Econ Disadv,8853,444,White,406,449,Not SWD,7763,448.0
BRONX,7,2024,Econ Disadv,8853,444,White,406,449,SWD,2654,432.0
BRONX,7,2024,Not Econ Disadv,1564,445,Asian,507,459,Not SWD,7763,448.0
BRONX,7,2024,Not Econ Disadv,1564,445,Asian,507,459,SWD,2654,432.0
BRONX,7,2024,Not Econ Disadv,1564,445,Black,2441,444,Not SWD,7763,448.0
BRONX,7,2024,Not Econ Disadv,1564,445,Black,2441,444,SWD,2654,432.0
BRONX,7,2024,Not Econ Disadv,1564,445,Hispanic,6852,442,Not SWD,7763,448.0
BRONX,7,2024,Not Econ Disadv,1564,445,Hispanic,6852,442,SWD,2654,432.0
BRONX,7,2024,Not Econ Disadv,1564,445,Multi-Racial,59,456,Not SWD,7763,448.0
BRONX,7,2024,Not Econ Disadv,1564,445,Multi-Racial,59,456,SWD,2654,432.0
BRONX,7,2024,Not Econ Disadv,1564,445,Native American,137,444,Not SWD,7763,448.0
BRONX,7,2024,Not Econ Disadv,1564,445,Native American,137,444,SWD,2654,432.0
BRONX,7,2024,Not Econ Disadv,1564,445,White,406,449,Not SWD,7763,448.0
BRONX,7,2024,Not Econ Disadv,1564,445,White,406,449,SWD,2654,432.0
BRONX,8,2024,Econ Disadv,9117,443,Asian,517,457,Not SWD,8198,448.0
BRONX,8,2024,Econ Disadv,9117,443,Asian,517,457,SWD,2870,430.0
BRONX,8,2024,Econ Disadv,9117,443,Black,2625,442,Not SWD,8198,448.0
BRONX,8,2024,Econ Disadv,9117,443,Black,2625,442,SWD,2870,430.0
BRONX,8,2024,Econ Disadv,9117,443,Hispanic,7307,442,Not SWD,8198,448.0
BRONX,8,2024,Econ Disadv,9117,443,Hispanic,7307,442,SWD,2870,430.0
BRONX,8,2024,Econ Disadv,9117,443,Multi-Racial,27,449,Not SWD,8198,448.0
BRONX,8,2024,Econ Disadv,9117,443,Multi-Racial,27,449,SWD,2870,430.0
BRONX,8,2024,Econ Disadv,9117,443,Native American,89,441,Not SWD,8198,448.0
BRONX,8,2024,Econ Disadv,9117,443,Native American,89,441,SWD,2870,430.0
BRONX,8,2024,Econ Disadv,9117,443,White,452,450,Not SWD,8198,448.0
BRONX,8,2024,Econ Disadv,9117,443,White,452,450,SWD,2870,430.0
BRONX,8,2024,Not Econ Disadv,1951,445,Asian,517,457,Not SWD,8198,448.0
BRONX,8,2024,Not Econ Disadv,1951,445,Asian,517,457,SWD,2870,430.0
BRONX,8,2024,Not Econ Disadv,1951,445,Black,2625,442,Not SWD,8198,448.0
BRONX,8,2024,Not Econ Disadv,1951,445,Black,2625,442,SWD,2870,430.0
BRONX,8,2024,Not Econ Disadv,1951,445,Hispanic,7307,442,Not SWD,8198,448.0
BRONX,8,2024,Not Econ Disadv,1951,445,Hispanic,7307,442,SWD,2870,430.0
BRONX,8,2024,Not Econ Disadv,1951,445,Multi-Racial,27,449,Not SWD,8198,448.0
BRONX,8,2024,Not Econ Disadv,1951,445,Multi-Racial,27,449,SWD,2870,430.0
BRONX,8,2024,Not Econ Disadv,1951,445,Native American,89,441,Not SWD,8198,448.0
BRONX,8,2024,Not Econ Disadv,1951,445,Native American,89,441,SWD,2870,430.0
BRONX,8,2024,Not Econ Disadv,1951,445,White,452,450,Not SWD,8198,448.0
BRONX,8,2024,Not Econ Disadv,1951,445,White,452,450,SWD,2870,430.0
BRONX,All Grades,2024,Econ Disadv,50363,439,Asian,3199,451,Not SWD,45675,443.0
BRONX,All Grades,2024,Econ Disadv,50363,439,Asian,3199,451,SWD,16108,427.0
BRONX,All Grades,2024,Econ Disadv,50363,439,Black,13943,439,Not SWD,45675,443.0
BRONX,All Grades,2024,Econ Disadv,50363,439,Black,13943,439,SWD,16108,427.0
BRONX,All Grades,2024,Econ Disadv,50363,439,Hispanic,40778,438,Not SWD,45675,443.0
BRONX,All Grades,2024,Econ Disadv,50363,439,Hispanic,40778,438,SWD,16108,427.0
BRONX,All Grades,2024,Econ Disadv,50363,439,Multi-Racial,407,447,Not SWD,45675,443.0
BRONX,All Grades,2024,Econ Disadv,50363,439,Multi-Racial,407,447,SWD,16108,427.0
BRONX,All Grades,2024,Econ Disadv,50363,439,Native American,640,440,Not SWD,45675,443.0
BRONX,All Grades,2024,Econ Disadv,50363,439,Native American,640,440,SWD,16108,427.0
BRONX,All Grades,2024,Econ Disadv,50363,439,White,2656,447,Not SWD,45675,443.0
BRONX,All Grades,2024,Econ Disadv,50363,439,White,2656,447,SWD,16108,427.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,Asian,3199,451,Not SWD,45675,443.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,Asian,3199,451,SWD,16108,427.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,Black,13943,439,Not SWD,45675,443.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,Black,13943,439,SWD,16108,427.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,Hispanic,40778,438,Not SWD,45675,443.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,Hispanic,40778,438,SWD,16108,427.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,Multi-Racial,407,447,Not SWD,45675,443.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,Multi-Racial,407,447,SWD,16108,427.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,Native American,640,440,Not SWD,45675,443.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,Native American,640,440,SWD,16108,427.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,White,2656,447,Not SWD,45675,443.0
BRONX,All Grades,2024,Not Econ Disadv,11420,442,White,2656,447,SWD,16108,427.0
BRONX,3,2023,Econ Disadv,8790,436,Asian,542,447,Not SWD,7491,441.0
BRONX,3,2023,Econ Disadv,8790,436,Asian,542,447,SWD,2329,426.0
BRONX,3,2023,Econ Disadv,8790,436,Black,2235,437,Not SWD,7491,441.0
BRONX,3,2023,Econ Disadv,8790,436,Black,2235,437,SWD,2329,426.0
BRONX,3,2023,Econ Disadv,8790,436,Hispanic,6409,436,Not SWD,7491,441.0
BRONX,3,2023,Econ Disadv,8790,436,Hispanic,6409,436,SWD,2329,426.0
BRONX,3,2023,Econ Disadv,8790,436,Multi-Racial,68,445,Not SWD,7491,441.0
BRONX,3,2023,Econ Disadv,8790,436,Multi-Racial,68,445,SWD,2329,426.0
BRONX,3,2023,Econ Disadv,8790,436,Native American,96,439,Not SWD,7491,441.0
BRONX,3,2023,Econ Disadv,8790,436,Native American,96,439,SWD,2329,426.0
BRONX,3,2023,Econ Disadv,8790,436,White,470,445,Not SWD,7491,441.0
BRONX,3,2023,Econ Disadv,8790,436,White,470,445,SWD,2329,426.0
BRONX,3,2023,Not Econ Disadv,1030,448,Asian,542,447,Not SWD,7491,441.0
BRONX,3,2023,Not Econ Disadv,1030,448,Asian,542,447,SWD,2329,426.0
BRONX,3,2023,Not Econ Disadv,1030,448,Black,2235,437,Not SWD,7491,441.0
BRONX,3,2023,Not Econ Disadv,1030,448,Black,2235,437,SWD,2329,426.0
BRONX,3,2023,Not Econ Disadv,1030,448,Hispanic,6409,436,Not SWD,7491,441.0
BRONX,3,2023,Not Econ Disadv,1030,448,Hispanic,6409,436,SWD,2329,426.0
BRONX,3,2023,Not Econ Disadv,1030,448,Multi-Racial,68,445,Not SWD,7491,441.0
BRONX,3,2023,Not Econ Disadv,1030,448,Multi-Racial,68,445,SWD,2329,426.0
BRONX,3,2023,Not Econ Disadv,1030,448,Native American,96,439,Not SWD,7491,441.0
BRONX,3,2023,Not Econ Disadv,1030,448,Native American,96,439,SWD,2329,426.0
BRONX,3,2023,Not Econ Disadv,1030,448,White,470,445,Not SWD,7491,441.0
BRONX,3,2023,Not Econ Disadv,1030,448,White,470,445,SWD,2329,426.0
BRONX,4,2023,Econ Disadv,9542,440,Asian,582,452,Not SWD,7900,445.0
BRONX,4,2023,Econ Disadv,9542,440,Asian,582,452,SWD,2726,429.0
BRONX,4,2023,Econ Disadv,9542,440,Black,2418,440,Not SWD,7900,445.0
BRONX,4,2023,Econ Disadv,9542,440,Black,2418,440,SWD,2726,429.0
BRONX,4,2023,Econ Disadv,9542,440,Hispanic,6945,439,Not SWD,7900,445.0
BRONX,4,2023,Econ Disadv,9542,440,Hispanic,6945,439,SWD,2726,429.0
BRONX,4,2023,Econ Disadv,9542,440,Multi-Racial,83,450,Not SWD,7900,445.0
BRONX,4,2023,Econ Disadv,9542,440,Multi-Racial,83,450,SWD,2726,429.0
BRONX,4,2023,Econ Disadv,9542,440,Native American,111,446,Not SWD,7900,445.0
BRONX,4,2023,Econ Disadv,9542,440,Native American,111,446,SWD,2726,429.0
BRONX,4,2023,Econ Disadv,9542,440,White,486,451,Not SWD,7900,445.0
BRONX,4,2023,Econ Disadv,9542,440,White,486,451,SWD,2726,429.0
BRONX,4,2023,Not Econ Disadv,1084,452,Asian,582,452,Not SWD,7900,445.0
BRONX,4,2023,Not Econ Disadv,1084,452,Asian,582,452,SWD,2726,429.0
BRONX,4,2023,Not Econ Disadv,1084,452,Black,2418,440,Not SWD,7900,445.0
BRONX,4,2023,Not Econ Disadv,1084,452,Black,2418,440,SWD,2726,429.0
BRONX,4,2023,Not Econ Disadv,1084,452,Hispanic,6945,439,Not SWD,7900,445.0
BRONX,4,2023,Not Econ Disadv,1084,452,Hispanic,6945,439,SWD,2726,429.0
BRONX,4,2023,Not Econ Disadv,1084,452,Multi-Racial,83,450,Not SWD,7900,445.0
BRONX,4,2023,Not Econ Disadv,1084,452,Multi-Racial,83,450,SWD,2726,429.0
BRONX,4,2023,Not Econ Disadv,1084,452,Native American,111,446,Not SWD,7900,445.0
BRONX,4,2023,Not Econ Disadv,1084,452,Native American,111,446,SWD,2726,429.0
BRONX,4,2023,Not Econ Disadv,1084,452,White,486,451,Not SWD,7900,445.0
BRONX,4,2023,Not Econ Disadv,1084,452,White,486,451,SWD,2726,429.0
BRONX,5,2023,Econ Disadv,9887,440,Asian,564,453,Not SWD,8186,446.0
BRONX,5,2023,Econ Disadv,9887,440,Asian,564,453,SWD,2873,428.0
BRONX,5,2023,Econ Disadv,9887,440,Black,2540,440,Not SWD,8186,446.0
BRONX,5,2023,Econ Disadv,9887,440,Black,2540,440,SWD,2873,428.0
BRONX,5,2023,Econ Disadv,9887,440,Hispanic,7288,440,Not SWD,8186,446.0
BRONX,5,2023,Econ Disadv,9887,440,Hispanic,7288,440,SWD,2873,428.0
BRONX,5,2023,Econ Disadv,9887,440,Multi-Racial,67,448,Not SWD,8186,446.0
BRONX,5,2023,Econ Disadv,9887,440,Multi-Racial,67,448,SWD,2873,428.0
BRONX,5,2023,Econ Disadv,9887,440,Native American,103,443,Not SWD,8186,446.0
BRONX,5,2023,Econ Disadv,9887,440,Native American,103,443,SWD,2873,428.0
BRONX,5,2023,Econ Disadv,9887,440,White,497,449,Not SWD,8186,446.0
BRONX,5,2023,Econ Disadv,9887,440,White,497,449,SWD,2873,428.0
BRONX,5,2023,Not Econ Disadv,1172,451,Asian,564,453,Not SWD,8186,446.0
BRONX,5,2023,Not Econ Disadv,1172,451,Asian,564,453,SWD,2873,428.0
BRONX,5,2023,Not Econ Disadv,1172,451,Black,2540,440,Not SWD,8186,446.0
BRONX,5,2023,Not Econ Disadv,1172,451,Black,2540,440,SWD,2873,428.0
BRONX,5,2023,Not Econ Disadv,1172,451,Hispanic,7288,440,Not SWD,8186,446.0
BRONX,5,2023,Not Econ Disadv,1172,451,Hispanic,7288,440,SWD,2873,428.0
BRONX,5,2023,Not Econ Disadv,1172,451,Multi-Racial,67,448,Not SWD,8186,446.0
BRONX,5,2023,Not Econ Disadv,1172,451,Multi-Racial,67,448,SWD,2873,428.0
BRONX,5,2023,Not Econ Disadv,1172,451,Native American,103,443,Not SWD,8186,446.0
BRONX,5,2023,Not Econ Disadv,1172,451,Native American,103,443,SWD,2873,428.0
BRONX,5,2023,Not Econ Disadv,1172,451,White,497,449,Not SWD,8186,446.0
BRONX,5,2023,Not Econ Disadv,1172,451,White,497,449,SWD,2873,428.0
BRONX,6,2023,Econ Disadv,9532,438,Asian,524,454,Not SWD,7722,443.0
BRONX,6,2023,Econ Disadv,9532,438,Asian,524,454,SWD,2664,426.0
BRONX,6,2023,Econ Disadv,9532,438,Black,2423,439,Not SWD,7722,443.0
BRONX,6,2023,Econ Disadv,9532,438,Black,2423,439,SWD,2664,426.0
BRONX,6,2023,Econ Disadv,9532,438,Hispanic,6807,437,Not SWD,7722,443.0
BRONX,6,2023,Econ Disadv,9532,438,Hispanic,6807,437,SWD,2664,426.0
BRONX,6,2023,Econ Disadv,9532,438,Multi-Racial,62,444,Not SWD,7722,443.0
BRONX,6,2023,Econ Disadv,9532,438,Multi-Racial,62,444,SWD,2664,426.0
BRONX,6,2023,Econ Disadv,9532,438,Native American,129,440,Not SWD,7722,443.0
BRONX,6,2023,Econ Disadv,9532,438,Native American,129,440,SWD,2664,426.0
BRONX,6,2023,Econ Disadv,9532,438,White,438,445,Not SWD,7722,443.0
BRONX,6,2023,Econ Disadv,9532,438,White,438,445,SWD,2664,426.0
BRONX,6,2023,Not Econ Disadv,854,447,Asian,524,454,Not SWD,7722,443.0
BRONX,6,2023,Not Econ Disadv,854,447,Asian,524,454,SWD,2664,426.0
BRONX,6,2023,Not Econ Disadv,854,447,Black,2423,439,Not SWD,7722,443.0
BRONX,6,2023,Not Econ Disadv,854,447,Black,2423,439,SWD,2664,426.0
BRONX,6,2023,Not Econ Disadv,854,447,Hispanic,6807,437,Not SWD,7722,443.0
BRONX,6,2023,Not Econ Disadv,854,447,Hispanic,6807,437,SWD,2664,426.0
BRONX,6,2023,Not Econ Disadv,854,447,Multi-Racial,62,444,Not SWD,7722,443.0
BRONX,6,2023,Not Econ Disadv,854,447,Multi-Racial,62,444,SWD,2664,426.0
BRONX,6,2023,Not Econ Disadv,854,447,Native American,129,440,Not SWD,7722,443.0
BRONX,6,2023,Not Econ Disadv,854,447,Native American,129,440,SWD,2664,426.0
BRONX,6,2023,Not Econ Disadv,854,447,White,438,445,Not SWD,7722,443.0
BRONX,6,2023,Not Econ Disadv,854,447,White,438,445,SWD,2664,426.0
BRONX,7,2023,Econ Disadv,9809,441,Asian,541,456,Not SWD,8106,447.0
BRONX,7,2023,Econ Disadv,9809,441,Asian,541,456,SWD,2975,429.0
BRONX,7,2023,Econ Disadv,9809,441,Black,2649,441,Not SWD,8106,447.0
BRONX,7,2023,Econ Disadv,9809,441,Black,2649,441,SWD,2975,429.0
BRONX,7,2023,Econ Disadv,9809,441,Hispanic,7284,441,Not SWD,8106,447.0
BRONX,7,2023,Econ Disadv,9809,441,Hispanic,7284,441,SWD,2975,429.0
BRONX,7,2023,Econ Disadv,9809,441,Multi-Racial,33,445,Not SWD,8106,447.0
BRONX,7,2023,Econ Disadv,9809,441,Multi-Racial,33,445,SWD,2975,429.0
BRONX,7,2023,Econ Disadv,9809,441,Native American,80,446,Not SWD,8106,447.0
BRONX,7,2023,Econ Disadv,9809,441,Native American,80,446,SWD,2975,429.0
BRONX,7,2023,Econ Disadv,9809,441,White,489,450,Not SWD,8106,447.0
BRONX,7,2023,Econ Disadv,9809,441,White,489,450,SWD,2975,429.0
BRONX,7,2023,Not Econ Disadv,1272,450,Asian,541,456,Not SWD,8106,447.0
BRONX,7,2023,Not Econ Disadv,1272,450,Asian,541,456,SWD,2975,429.0
BRONX,7,2023,Not Econ Disadv,1272,450,Black,2649,441,Not SWD,8106,447.0
BRONX,7,2023,Not Econ Disadv,1272,450,Black,2649,441,SWD,2975,429.0
BRONX,7,2023,Not Econ Disadv,1272,450,Hispanic,7284,441,Not SWD,8106,447.0
BRONX,7,2023,Not Econ Disadv,1272,450,Hispanic,7284,441,SWD,2975,429.0
BRONX,7,2023,Not Econ Disadv,1272,450,Multi-Racial,33,445,Not SWD,8106,447.0
BRONX,7,2023,Not Econ Disadv,1272,450,Multi-Racial,33,445,SWD,2975,429.0
BRONX,7,2023,Not Econ Disadv,1272,450,Native American,80,446,Not SWD,8106,447.0
BRONX,7,2023,Not Econ Disadv,1272,450,Native American,80,446,SWD,2975,429.0
BRONX,7,2023,Not Econ Disadv,1272,450,White,489,450,Not SWD,8106,447.0
BRONX,7,2023,Not Econ Disadv,1272,450,White,489,450,SWD,2975,429.0
BRONX,8,2023,Econ Disadv,10254,447,Asian,583,463,Not SWD,8680,452.0
BRONX,8,2023,Econ Disadv,10254,447,Asian,583,463,SWD,2911,434.0
BRONX,8,2023,Econ Disadv,10254,447,Black,2792,447,Not SWD,8680,452.0
BRONX,8,2023,Econ Disadv,10254,447,Black,2792,447,SWD,2911,434.0
BRONX,8,2023,Econ Disadv,10254,447,Hispanic,7543,446,Not SWD,8680,452.0
BRONX,8,2023,Econ Disadv,10254,447,Hispanic,7543,446,SWD,2911,434.0
BRONX,8,2023,Econ Disadv,10254,447,Multi-Racial,48,458,Not SWD,8680,452.0
BRONX,8,2023,Econ Disadv,10254,447,Multi-Racial,48,458,SWD,2911,434.0
BRONX,8,2023,Econ Disadv,10254,447,Native American,125,452,Not SWD,8680,452.0
BRONX,8,2023,Econ Disadv,10254,447,Native American,125,452,SWD,2911,434.0
BRONX,8,2023,Econ Disadv,10254,447,White,494,454,Not SWD,8680,452.0
BRONX,8,2023,Econ Disadv,10254,447,White,494,454,SWD,2911,434.0
BRONX,8,2023,Not Econ Disadv,1337,454,Asian,583,463,Not SWD,8680,452.0
BRONX,8,2023,Not Econ Disadv,1337,454,Asian,583,463,SWD,2911,434.0
BRONX,8,2023,Not Econ Disadv,1337,454,Black,2792,447,Not SWD,8680,452.0
BRONX,8,2023,Not Econ Disadv,1337,454,Black,2792,447,SWD,2911,434.0
BRONX,8,2023,Not Econ Disadv,1337,454,Hispanic,7543,446,Not SWD,8680,452.0
BRONX,8,2023,Not Econ Disadv,1337,454,Hispanic,7543,446,SWD,2911,434.0
BRONX,8,2023,Not Econ Disadv,1337,454,Multi-Racial,48,458,Not SWD,8680,452.0
