Borough,Category,Year,# Total Cohort,# Grads,% Grads,# Dropout,% Dropout
Brooklyn,Econ Disadv,2015,15541,11892,76.5,1112,7.2
Brooklyn,Econ Disadv,2014,15900,12170,76.5,1004,6.3
Brooklyn,Econ Disadv,2013,14937,11360,76.1,989,6.6
Brooklyn,Econ Disadv,2012,14572,10697,73.4,1054,7.2
Brooklyn,Econ Disadv,2019,15075,11859,78.7,827,5.5
Brooklyn,Econ Disadv,2018,14955,11936,79.8,763,5.1
Brooklyn,Econ Disadv,2017,15271,11815,77.4,629,4.1
Brooklyn,Econ Disadv,2016,15646,11896,76.0,836,5.3
Brooklyn,Econ Disadv,2015,15541,11248,72.4,1122,7.2
Brooklyn,Econ Disadv,2014,15900,11557,72.7,1004,6.3
Brooklyn,Econ Disadv,2013,14937,10788,72.2,989,6.6
Brooklyn,Econ Disadv,2012,14572,10144,69.6,1054,7.2
Brooklyn,Econ Disadv,2018,14849,12821,86.3,1170,7.9
Brooklyn,Econ Disadv,2017,15075,12895,85.5,1161,7.7
Brooklyn,Econ Disadv,2016,15544,12923,83.1,1230,7.9
Brooklyn,Econ Disadv,2015,15370,12705,82.7,1434,9.3
Brooklyn,Econ Disadv,2014,15608,12754,81.7,1700,10.9
Brooklyn,Econ Disadv,2013,14767,11928,80.8,1466,9.9
Brooklyn,Econ Disadv,2012,14004,11221,80.1,1470,10.5
Brooklyn,Econ Disadv,2018,14849,12737,85.8,1187,8.0
Brooklyn,Econ Disadv,2017,15075,12834,85.1,1175,7.8
Brooklyn,Econ Disadv,2016,15544,12832,82.6,1241,8.0
Brooklyn,Econ Disadv,2015,15370,12609,82.0,1468,9.6
Brooklyn,Econ Disadv,2014,15608,12636,81.0,1731,11.1
Brooklyn,Econ Disadv,2013,14767,11802,79.9,1470,10.0
Brooklyn,Econ Disadv,2012,14004,11092,79.2,1472,10.5
Brooklyn,Econ Disadv,2017,15078,13029,86.4,1369,9.1
Brooklyn,Econ Disadv,2016,15468,13136,84.9,1518,9.8
Brooklyn,Econ Disadv,2015,15359,12928,84.2,1535,10.0
Brooklyn,Econ Disadv,2014,15558,13060,83.9,1715,11.0
Brooklyn,Econ Disadv,2013,14696,12180,82.9,1671,11.4
Brooklyn,Econ Disadv,2012,14012,11453,81.7,1666,11.9
Brooklyn,Not Econ Disadv,2019,4607,3962,86.0,197,4.3
Brooklyn,Not Econ Disadv,2018,4919,4131,84.0,257,5.2
Brooklyn,Not Econ Disadv,2017,4865,4111,84.5,190,3.9
Brooklyn,Not Econ Disadv,2016,4661,3839,82.4,269,5.8
Brooklyn,Not Econ Disadv,2015,4844,3798,78.4,344,7.1
Brooklyn,Not Econ Disadv,2014,4666,3583,76.8,374,8.0
Brooklyn,Not Econ Disadv,2013,5159,3594,69.7,508,9.8
Brooklyn,Not Econ Disadv,2012,6251,4463,71.4,529,8.5
Brooklyn,Not Econ Disadv,2019,4607,3839,83.3,205,4.4
Brooklyn,Not Econ Disadv,2018,4919,4005,81.4,258,5.2
Brooklyn,Not Econ Disadv,2017,4865,3976,81.7,194,4.0
Brooklyn,Not Econ Disadv,2016,4661,3750,80.5,271,5.8
Brooklyn,Not Econ Disadv,2015,4844,3645,75.2,346,7.1
Brooklyn,Not Econ Disadv,2014,4666,3448,73.9,374,8.0
Brooklyn,Not Econ Disadv,2013,5159,3416,66.2,508,9.8
Brooklyn,Not Econ Disadv,2012,6251,4262,68.2,529,8.5
Brooklyn,Not Econ Disadv,2018,4939,4323,87.5,315,6.4
Brooklyn,Not Econ Disadv,2017,4722,4170,88.3,270,5.7
Brooklyn,Not Econ Disadv,2016,4727,4085,86.4,348,7.4
Brooklyn,Not Econ Disadv,2015,4955,4106,82.9,433,8.7
Brooklyn,Not Econ Disadv,2014,4976,3967,79.7,571,11.5
Brooklyn,Not Econ Disadv,2013,5192,4033,77.7,627,12.1
Brooklyn,Not Econ Disadv,2012,6779,5062,74.7,839,12.4
Brooklyn,Not Econ Disadv,2018,4939,4312,87.3,319,6.5
Brooklyn,Not Econ Disadv,2017,4722,4153,88.0,271,5.7
Brooklyn,Not Econ Disadv,2016,4727,4049,85.7,351,7.4
Brooklyn,Not Econ Disadv,2015,4955,4078,82.3,443,8.9
Brooklyn,Not Econ Disadv,2014,4976,3940,79.2,582,11.7
Brooklyn,Not Econ Disadv,2013,5192,4013,77.3,629,12.1
Brooklyn,Not Econ Disadv,2012,6779,5014,74.0,842,12.4
Brooklyn,Not Econ Disadv,2017,4693,4196,89.4,303,6.5
Brooklyn,Not Econ Disadv,2016,4759,4153,87.3,390,8.2
Brooklyn,Not Econ Disadv,2015,4947,4187,84.6,444,9.0
Brooklyn,Not Econ Disadv,2014,4982,4036,81.0,582,11.7
Brooklyn,Not Econ Disadv,2013,5276,4162,78.9,683,12.9
Brooklyn,Not Econ Disadv,2012,6711,5161,76.9,889,13.2
Manhattan,Econ Disadv,2019,9958,8084,81.2,678,6.8
Manhattan,Econ Disadv,2018,9988,8148,81.6,655,6.6
Manhattan,Econ Disadv,2017,10351,8398,81.1,493,4.8
Manhattan,Econ Disadv,2016,10870,8467,77.9,548,5.0
Manhattan,Econ Disadv,2015,10687,8161,76.4,802,7.5
Manhattan,Econ Disadv,2014,10867,8124,74.8,762,7.0
Manhattan,Econ Disadv,2013,10115,7485,74.0,713,7.0
Manhattan,Econ Disadv,2012,10308,7615,73.9,770,7.5
Manhattan,Econ Disadv,2019,9958,7802,78.3,682,6.8
Manhattan,Econ Disadv,2018,9988,7901,79.1,657,6.6
Manhattan,Econ Disadv,2017,10351,8195,79.2,497,4.8
Manhattan,Econ Disadv,2016,10870,8255,75.9,554,5.1
Manhattan,Econ Disadv,2015,10687,7800,73.0,809,7.6
Manhattan,Econ Disadv,2014,10867,7762,71.4,762,7.0
Manhattan,Econ Disadv,2013,10115,7163,70.8,713,7.0
Manhattan,Econ Disadv,2012,10308,7282,70.6,770,7.5
Manhattan,Econ Disadv,2018,9999,8450,84.5,911,9.1
Manhattan,Econ Disadv,2017,10323,8725,84.5,894,8.7
Manhattan,Econ Disadv,2016,10909,8976,82.3,881,8.1
Manhattan,Econ Disadv,2015,10674,8752,82.0,1000,9.4
Manhattan,Econ Disadv,2014,10714,8602,80.3,1266,11.8
Manhattan,Econ Disadv,2013,10183,8005,78.6,1178,11.6
Manhattan,Econ Disadv,2012,10042,8020,79.9,1088,10.8
Manhattan,Econ Disadv,2018,9999,8408,84.1,921,9.2
Manhattan,Econ Disadv,2017,10323,8677,84.1,902,8.7
Manhattan,Econ Disadv,2016,10909,8908,81.7,884,8.1
Manhattan,Econ Disadv,2015,10674,8701,81.5,1016,9.5
Manhattan,Econ Disadv,2014,10714,8509,79.4,1289,12.0
Manhattan,Econ Disadv,2013,10183,7916,77.7,1180,11.6
Manhattan,Econ Disadv,2012,10042,7960,79.3,1088,10.8
Manhattan,Econ Disadv,2017,10341,8812,85.2,1015,9.8
Manhattan,Econ Disadv,2016,10908,9115,83.6,1163,10.7
Manhattan,Econ Disadv,2015,10704,8929,83.4,1123,10.5
Manhattan,Econ Disadv,2014,10750,8863,82.4,1300,12.1
Manhattan,Econ Disadv,2013,10151,8206,80.8,1349,13.3
Manhattan,Econ Disadv,2012,10100,8220,81.4,1279,12.7
Manhattan,Not Econ Disadv,2019,4702,4152,88.3,197,4.2
Manhattan,Not Econ Disadv,2018,4947,4303,87.0,224,4.5
Manhattan,Not Econ Disadv,2017,4841,4241,87.6,221,4.6
Manhattan,Not Econ Disadv,2016,4723,4025,85.2,224,4.7
Manhattan,Not Econ Disadv,2015,4587,3798,82.8,275,6.0
Manhattan,Not Econ Disadv,2014,4654,3778,81.2,322,6.9
Manhattan,Not Econ Disadv,2013,5165,3953,76.5,404,7.8
Manhattan,Not Econ Disadv,2012,5261,4022,76.4,376,7.1
Manhattan,Not Econ Disadv,2019,4702,4086,86.9,199,4.2
Manhattan,Not Econ Disadv,2018,4947,4237,85.6,224,4.5
Manhattan,Not Econ Disadv,2017,4841,4147,85.7,221,4.6
Manhattan,Not Econ Disadv,2016,4723,3986,84.4,226,4.8
Manhattan,Not Econ Disadv,2015,4587,3704,80.7,277,6.0
Manhattan,Not Econ Disadv,2014,4654,3683,79.1,322,6.9
Manhattan,Not Econ Disadv,2013,5165,3833,74.2,404,7.8
Manhattan,Not Econ Disadv,2012,5261,3914,74.4,376,7.1
Manhattan,Not Econ Disadv,2018,4940,4415,89.4,271,5.5
Manhattan,Not Econ Disadv,2017,4861,4301,88.5,297,6.1
Manhattan,Not Econ Disadv,2016,4716,4166,88.3,266,5.6
Manhattan,Not Econ Disadv,2015,4696,3973,84.6,339,7.2
Manhattan,Not Econ Disadv,2014,4869,3979,81.7,484,9.9
Manhattan,Not Econ Disadv,2013,5223,4212,80.6,517,9.9
Manhattan,Not Econ Disadv,2012,5591,4397,78.6,568,10.2
Manhattan,Not Econ Disadv,2018,4940,4409,89.3,273,5.5
Manhattan,Not Econ Disadv,2017,4861,4291,88.3,298,6.1
Manhattan,Not Econ Disadv,2016,4716,4153,88.1,267,5.7
Manhattan,Not Econ Disadv,2015,4696,3961,84.3,343,7.3
Manhattan,Not Econ Disadv,2014,4869,3963,81.4,489,10.0
Manhattan,Not Econ Disadv,2013,5223,4199,80.4,517,9.9
Manhattan,Not Econ Disadv,2012,5591,4382,78.4,568,10.2
Manhattan,Not Econ Disadv,2017,4853,4319,89.0,321,6.6
Manhattan,Not Econ Disadv,2016,4715,4189,88.8,306,6.5
Manhattan,Not Econ Disadv,2015,4674,4026,86.1,349,7.5
Manhattan,Not Econ Disadv,2014,4879,4025,82.5,493,10.1
Manhattan,Not Econ Disadv,2013,5293,4309,81.4,597,11.3
Manhattan,Not Econ Disadv,2012,5561,4475,80.5,596,10.7
Queens,Econ Disadv,2019,13798,12004,87.0,478,3.5
Queens,Econ Disadv,2018,13717,11982,87.4,489,3.6
Queens,Econ Disadv,2017,14099,12120,86.0,548,3.9
Queens,Econ Disadv,2016,14298,11889,83.2,655,4.6
Queens,Econ Disadv,2015,14372,11630,80.9,828,5.8
Queens,Econ Disadv,2014,14837,11980,80.7,742,5.0
Queens,Econ Disadv,2013,13327,10833,81.3,648,4.9
Queens,Econ Disadv,2012,13016,10330,79.4,837,6.4
Queens,Econ Disadv,2019,13798,11604,84.1,481,3.5
Queens,Econ Disadv,2018,13717,11621,84.7,491,3.6
Queens,Econ Disadv,2017,14099,11699,83.0,550,3.9
Queens,Econ Disadv,2016,14298,11588,81.0,655,4.6
Queens,Econ Disadv,2015,14372,11109,77.3,834,5.8
Queens,Econ Disadv,2014,14837,11476,77.3,742,5.0
Queens,Econ Disadv,2013,13327,10415,78.1,648,4.9
Queens,Econ Disadv,2012,13016,9958,76.5,838,6.4
Queens,Econ Disadv,2018,13662,12212,89.4,767,5.6
Queens,Econ Disadv,2017,13989,12398,88.6,820,5.9
Queens,Econ Disadv,2016,14187,12293,86.6,926,6.5
Queens,Econ Disadv,2015,14188,12239,86.3,1047,7.4
Queens,Econ Disadv,2014,14437,12340,85.5,1284,8.9
Queens,Econ Disadv,2013,13209,11009,83.3,1061,8.0
Queens,Econ Disadv,2012,12397,10571,85.3,1049,8.5
Queens,Econ Disadv,2018,13662,12168,89.1,777,5.7
Queens,Econ Disadv,2017,13989,12354,88.3,832,5.9
Queens,Econ Disadv,2016,14187,12233,86.2,934,6.6
Queens,Econ Disadv,2015,14188,12163,85.7,1069,7.5
Queens,Econ Disadv,2014,14437,12262,84.9,1306,9.0
Queens,Econ Disadv,2013,13209,10924,82.7,1064,8.1
Queens,Econ Disadv,2012,12397,10498,84.7,1050,8.5
Queens,Econ Disadv,2017,13930,12422,89.2,934,6.7
Queens,Econ Disadv,2016,14167,12398,87.5,1054,7.4
Queens,Econ Disadv,2015,14188,12385,87.3,1097,7.7
Queens,Econ Disadv,2014,14397,12558,87.2,1259,8.7
Queens,Econ Disadv,2013,13115,11148,85.0,1242,9.5
Queens,Econ Disadv,2012,12377,10657,86.1,1183,9.6
Queens,Not Econ Disadv,2019,4914,4236,86.2,242,4.9
Queens,Not Econ Disadv,2018,5331,4552,85.4,290,5.4
Queens,Not Econ Disadv,2017,5402,4594,85.0,297,5.5
Queens,Not Econ Disadv,2016,5252,4299,81.9,357,6.8
Queens,Not Econ Disadv,2015,5416,4335,80.0,401,7.4
Queens,Not Econ Disadv,2014,5408,4122,76.2,462,8.5
Queens,Not Econ Disadv,2013,6090,4279,70.3,590,9.7
Queens,Not Econ Disadv,2012,6382,4436,69.5,658,10.3
Queens,Not Econ Disadv,2019,4914,4123,83.9,243,4.9
Queens,Not Econ Disadv,2018,5331,4446,83.4,292,5.5
Queens,Not Econ Disadv,2017,5402,4447,82.3,297,5.5
Queens,Not Econ Disadv,2016,5252,4229,80.5,360,6.9
Queens,Not Econ Disadv,2015,5416,4190,77.4,402,7.4
Queens,Not Econ Disadv,2014,5408,3995,73.9,462,8.5
Queens,Not Econ Disadv,2013,6090,4118,67.6,590,9.7
Queens,Not Econ Disadv,2012,6382,4242,66.5,658,10.3
Queens,Not Econ Disadv,2018,5307,4669,88.0,353,6.7
Queens,Not Econ Disadv,2017,5413,4720,87.2,375,6.9
Queens,Not Econ Disadv,2016,5311,4522,85.1,420,7.9
Queens,Not Econ Disadv,2015,5581,4610,82.6,548,9.8
Queens,Not Econ Disadv,2014,5772,4503,78.0,739,12.8
Queens,Not Econ Disadv,2013,6050,4613,76.2,769,12.7
Queens,Not Econ Disadv,2012,6940,4975,71.7,961,13.8
Queens,Not Econ Disadv,2018,5307,4659,87.8,359,6.8
Queens,Not Econ Disadv,2017,5413,4707,87.0,379,7.0
Queens,Not Econ Disadv,2016,5311,4496,84.7,423,8.0
Queens,Not Econ Disadv,2015,5581,4595,82.3,554,9.9
Queens,Not Econ Disadv,2014,5772,4474,77.5,750,13.0
Queens,Not Econ Disadv,2013,6050,4579,75.7,770,12.7
Queens,Not Econ Disadv,2012,6940,4930,71.0,966,13.9
Queens,Not Econ Disadv,2017,5437,4782,88.0,389,7.2
Queens,Not Econ Disadv,2016,5309,4562,85.9,440,8.3
Queens,Not Econ Disadv,2015,5540,4664,84.2,538,9.7
Queens,Not Econ Disadv,2014,5797,4588,79.1,764,13.2
Queens,Not Econ Disadv,2013,6140,4713,76.8,866,14.1
Queens,Not Econ Disadv,2012,6814,5051,74.1,994,14.6
Staten Island,Econ Disadv,2019,2822,2333,82.7,140,5.0
Staten Island,Econ Disadv,2018,2670,2181,81.7,152,5.7
Staten Island,Econ Disadv,2017,2717,2201,81.0,138,5.1
Staten Island,Econ Disadv,2016,2721,2147,78.9,136,5.0
Staten Island,Econ Disadv,2015,2579,2005,77.7,168,6.5
Staten Island,Econ Disadv,2014,2688,2016,75.0,181,6.7
Staten Island,Econ Disadv,2013,2374,1821,76.7,183,7.7
Staten Island,Econ Disadv,2012,2206,1624,73.6,185,8.4
Staten Island,Econ Disadv,2019,2822,2283,80.9,141,5.0
Staten Island,Econ Disadv,2018,2670,2142,80.2,153,5.7
Staten Island,Econ Disadv,2017,2717,2108,77.6,140,5.2
Staten Island,Econ Disadv,2016,2721,2109,77.5,136,5.0
Staten Island,Econ Disadv,2015,2579,1947,75.5,168,6.5
Staten Island,Econ Disadv,2014,2688,1958,72.8,181,6.7
Staten Island,Econ Disadv,2013,2374,1782,75.1,183,7.7
Staten Island,Econ Disadv,2012,2206,1582,71.7,185,8.4
Staten Island,Econ Disadv,2018,2663,2249,84.5,218,8.2
Staten Island,Econ Disadv,2017,2684,2269,84.5,242,9.0
Staten Island,Econ Disadv,2016,2705,2240,82.8,233,8.6
Staten Island,Econ Disadv,2015,2557,2092,81.8,219,8.6
Staten Island,Econ Disadv,2014,2639,2111,80.0,292,11.1
Staten Island,Econ Disadv,2013,2403,1899,79.0,265,11.0
Staten Island,Econ Disadv,2012,2116,1691,79.9,239,11.3
Staten Island,Econ Disadv,2018,2663,2237,84.0,218,8.2
Staten Island,Econ Disadv,2017,2684,2261,84.2,243,9.1
Staten Island,Econ Disadv,2016,2705,2224,82.2,234,8.7
Staten Island,Econ Disadv,2015,2557,2083,81.5,222,8.7
Staten Island,Econ Disadv,2014,2639,2095,79.4,294,11.1
Staten Island,Econ Disadv,2013,2403,1887,78.5,265,11.0
Staten Island,Econ Disadv,2012,2116,1685,79.6,239,11.3
Staten Island,Econ Disadv,2017,2687,2297,85.5,253,9.4
Staten Island,Econ Disadv,2016,2698,2265,84.0,262,9.7
Staten Island,Econ Disadv,2015,2563,2126,82.9,255,9.9
Staten Island,Econ Disadv,2014,2632,2155,81.9,294,11.2
Staten Island,Econ Disadv,2013,2378,1923,80.9,290,12.2
Staten Island,Econ Disadv,2012,2130,1726,81.0,254,11.9
Staten Island,Not Econ Disadv,2019,1761,1636,92.9,47,2.7
Staten Island,Not Econ Disadv,2018,1898,1763,92.9,40,2.1
Staten Island,Not Econ Disadv,2017,1965,1832,93.2,32,1.6
Staten Island,Not Econ Disadv,2016,1973,1827,92.6,45,2.3
Staten Island,Not Econ Disadv,2015,1855,1664,89.7,56,3.0
Staten Island,Not Econ Disadv,2014,1977,1752,88.6,74,3.7
Staten Island,Not Econ Disadv,2013,2257,1897,84.0,93,4.1
Staten Island,Not Econ Disadv,2012,2338,1989,85.1,104,4.4
Staten Island,Not Econ Disadv,2019,1761,1617,91.8,47,2.7
Staten Island,Not Econ Disadv,2018,1898,1743,91.8,40,2.1
Staten Island,Not Econ Disadv,2017,1965,1807,92.0,32,1.6
Staten Island,Not Econ Disadv,2016,1973,1813,91.9,45,2.3
Staten Island,Not Econ Disadv,2015,1855,1647,88.8,56,3.0
Staten Island,Not Econ Disadv,2014,1977,1727,87.4,74,3.7
Staten Island,Not Econ Disadv,2013,2257,1865,82.6,93,4.1
Staten Island,Not Econ Disadv,2012,2338,1945,83.2,104,4.4
Staten Island,Not Econ Disadv,2018,1886,1778,94.3,63,3.3
Staten Island,Not Econ Disadv,2017,1969,1865,94.7,60,3.0
Staten Island,Not Econ Disadv,2016,1975,1863,94.3,60,3.0
Staten Island,Not Econ Disadv,2015,1870,1714,91.7,78,4.2
Staten Island,Not Econ Disadv,2014,2016,1802,89.4,129,6.4
Staten Island,Not Econ Disadv,2013,2221,1961,88.3,136,6.1
Staten Island,Not Econ Disadv,2012,2428,2083,85.8,165,6.8
Staten Island,Not Econ Disadv,2018,1886,1776,94.2,63,3.3
Staten Island,Not Econ Disadv,2017,1969,1861,94.5,60,3.0
Staten Island,Not Econ Disadv,2016,1975,1859,94.1,62,3.1
Staten Island,Not Econ Disadv,2015,1870,1705,91.2,81,4.3
Staten Island,Not Econ Disadv,2014,2016,1800,89.3,129,6.4
Staten Island,Not Econ Disadv,2013,2221,1956,88.1,136,6.1
Staten Island,Not Econ Disadv,2012,2428,2080,85.7,165,6.8
Staten Island,Not Econ Disadv,2017,1963,1867,95.1,63,3.2
Staten Island,Not Econ Disadv,2016,1981,1871,94.4,71,3.6
Staten Island,Not Econ Disadv,2015,1870,1726,92.3,77,4.1
Staten Island,Not Econ Disadv,2014,2022,1816,89.8,125,6.2
Staten Island,Not Econ Disadv,2013,2236,1985,88.8,150,6.7
Staten Island,Not Econ Disadv,2012,2410,2098,87.1,173,7.2
