Borough,Year,Category,Number Tested,Mean Scale Score
BROOKLYN,2023,Not Econ Disadv,4024,468
BROOKLYN,2023,Econ Disadv,11140,451
BROOKLYN,2023,Not Econ Disadv,3912,468
BROOKLYN,2023,Econ Disadv,12140,450
BROOKLYN,2023,Not Econ Disadv,3912,466
BROOKLYN,2023,Econ Disadv,12281,449
BROOKLYN,2023,Not Econ Disadv,3090,466
BROOKLYN,2023,Econ Disadv,11744,453
BROOKLYN,2023,Not Econ Disadv,3449,469
BROOKLYN,2023,Econ Disadv,9545,451
BROOKLYN,2023,Not Econ Disadv,2020,460
BROOKLYN,2023,Econ Disadv,67756,451
BROOKLYN,2023,Not Econ Disadv,20407,467
BROOKLYN,2022,Econ Disadv,10786,595
BROOKLYN,2022,Not Econ Disadv,4121,606
BROOKLYN,2022,Econ Disadv,11480,594
BROOKLYN,2022,Not Econ Disadv,4158,606
BROOKLYN,2022,Econ Disadv,11721,594
BROOKLYN,2022,Not Econ Disadv,4072,606
BROOKLYN,2022,Econ Disadv,12047,594
BROOKLYN,2022,Not Econ Disadv,3040,606
BROOKLYN,2022,Econ Disadv,11971,597
BROOKLYN,2022,Not Econ Disadv,3648,607
BROOKLYN,2022,Econ Disadv,8614,597
BROOKLYN,2022,Not Econ Disadv,1982,603
BROOKLYN,2022,Econ Disadv,66619,595
BROOKLYN,2022,Not Econ Disadv,21021,606
BROOKLYN,2019,Econ Disadv,14108,599
BROOKLYN,2019,Not Econ Disadv,4843,609
BROOKLYN,2019,Econ Disadv,14798,599
BROOKLYN,2019,Not Econ Disadv,4932,610
BROOKLYN,2019,Econ Disadv,14694,599
BROOKLYN,2019,Not Econ Disadv,4674,609
BROOKLYN,2019,Econ Disadv,14830,597
BROOKLYN,2019,Not Econ Disadv,4585,609
BROOKLYN,2019,Econ Disadv,14445,600
BROOKLYN,2019,Not Econ Disadv,4340,611
BROOKLYN,2019,Econ Disadv,12894,602
BROOKLYN,2019,Not Econ Disadv,3161,610
BROOKLYN,2019,Econ Disadv,85769,599
BROOKLYN,2019,Not Econ Disadv,26535,610
BROOKLYN,2018,Econ Disadv,15249,598
BROOKLYN,2018,Not Econ Disadv,4753,610
BROOKLYN,2018,Econ Disadv,15181,598
BROOKLYN,2018,Not Econ Disadv,4553,610
BROOKLYN,2018,Econ Disadv,15175,597
BROOKLYN,2018,Not Econ Disadv,4734,609
BROOKLYN,2018,Econ Disadv,15077,597
BROOKLYN,2018,Not Econ Disadv,3888,609
BROOKLYN,2018,Econ Disadv,14737,598
BROOKLYN,2018,Not Econ Disadv,4161,608
BROOKLYN,2018,Econ Disadv,12828,602
BROOKLYN,2018,Not Econ Disadv,3080,609
BROOKLYN,2018,Econ Disadv,88247,598
BROOKLYN,2018,Not Econ Disadv,25169,609
MANHATTAN,2024,Econ Disadv,2760,447
MANHATTAN,2024,Not Econ Disadv,3212,467
MANHATTAN,2024,Econ Disadv,2828,449
MANHATTAN,2024,Not Econ Disadv,3104,474
MANHATTAN,2024,Econ Disadv,2653,447
MANHATTAN,2024,Not Econ Disadv,2746,474
MANHATTAN,2024,Econ Disadv,2729,448
MANHATTAN,2024,Not Econ Disadv,3092,466
MANHATTAN,2024,Econ Disadv,3304,454
MANHATTAN,2024,Not Econ Disadv,2696,476
MANHATTAN,2024,Econ Disadv,1471,446
MANHATTAN,2024,Not Econ Disadv,615,455
MANHATTAN,2024,Econ Disadv,15745,449
MANHATTAN,2024,Not Econ Disadv,15465,471
MANHATTAN,2023,Econ Disadv,3283,445
MANHATTAN,2023,Not Econ Disadv,2624,476
MANHATTAN,2023,Econ Disadv,3335,444
MANHATTAN,2023,Not Econ Disadv,2593,478
MANHATTAN,2023,Econ Disadv,3436,444
MANHATTAN,2023,Not Econ Disadv,2509,476
MANHATTAN,2023,Econ Disadv,3736,444
MANHATTAN,2023,Not Econ Disadv,2258,474
MANHATTAN,2023,Econ Disadv,3847,447
MANHATTAN,2023,Not Econ Disadv,2348,477
MANHATTAN,2023,Econ Disadv,1807,443
MANHATTAN,2023,Not Econ Disadv,546,457
MANHATTAN,2023,Econ Disadv,19444,445
MANHATTAN,2023,Not Econ Disadv,12878,475
MANHATTAN,2022,Econ Disadv,3022,591
MANHATTAN,2022,Not Econ Disadv,2736,613
MANHATTAN,2022,Econ Disadv,3097,589
MANHATTAN,2022,Not Econ Disadv,2645,615
MANHATTAN,2022,Econ Disadv,3390,591
MANHATTAN,2022,Not Econ Disadv,2597,613
MANHATTAN,2022,Econ Disadv,3672,592
MANHATTAN,2022,Not Econ Disadv,2304,614
MANHATTAN,2022,Econ Disadv,3599,594
MANHATTAN,2022,Not Econ Disadv,2486,613
MANHATTAN,2022,Econ Disadv,1852,592
MANHATTAN,2022,Not Econ Disadv,608,602
MANHATTAN,2022,Econ Disadv,18632,591
MANHATTAN,2022,Not Econ Disadv,13376,613
MANHATTAN,2019,Econ Disadv,4483,597
MANHATTAN,2019,Not Econ Disadv,3375,616
MANHATTAN,2019,Econ Disadv,4729,596
MANHATTAN,2019,Not Econ Disadv,3259,618
MANHATTAN,2019,Econ Disadv,4539,596
MANHATTAN,2019,Not Econ Disadv,3125,616
MANHATTAN,2019,Econ Disadv,4675,597
MANHATTAN,2019,Not Econ Disadv,3054,615
MANHATTAN,2019,Econ Disadv,4733,598
MANHATTAN,2019,Not Econ Disadv,3000,617
MANHATTAN,2019,Econ Disadv,3256,599
MANHATTAN,2019,Not Econ Disadv,1229,606
MANHATTAN,2019,Econ Disadv,26415,597
MANHATTAN,2019,Not Econ Disadv,17042,615
MANHATTAN,2018,Econ Disadv,4778,595
MANHATTAN,2018,Not Econ Disadv,3323,615
MANHATTAN,2018,Econ Disadv,4784,594
MANHATTAN,2018,Not Econ Disadv,3312,615
MANHATTAN,2018,Econ Disadv,4773,596
MANHATTAN,2018,Not Econ Disadv,3203,616
MANHATTAN,2018,Econ Disadv,4835,595
MANHATTAN,2018,Not Econ Disadv,2957,614
MANHATTAN,2018,Econ Disadv,4808,596
MANHATTAN,2018,Not Econ Disadv,2995,614
MANHATTAN,2018,Econ Disadv,3857,597
MANHATTAN,2018,Not Econ Disadv,1499,608
MANHATTAN,2018,Econ Disadv,27835,595
MANHATTAN,2018,Not Econ Disadv,17289,614
QUEENS,2024,Econ Disadv,10543,452
QUEENS,2024,Not Econ Disadv,5954,458
QUEENS,2024,Econ Disadv,10790,458
QUEENS,2024,Not Econ Disadv,6301,464
QUEENS,2024,Econ Disadv,10478,453
QUEENS,2024,Not Econ Disadv,5330,463
QUEENS,2024,Econ Disadv,10523,451
QUEENS,2024,Not Econ Disadv,7406,457
QUEENS,2024,Econ Disadv,12259,459
QUEENS,2024,Not Econ Disadv,5288,464
QUEENS,2024,Econ Disadv,5211,444
QUEENS,2024,Not Econ Disadv,2057,450
QUEENS,2024,Econ Disadv,59804,454
QUEENS,2024,Not Econ Disadv,32336,460
QUEENS,2023,Econ Disadv,11858,453
QUEENS,2023,Not Econ Disadv,4717,467
QUEENS,2023,Econ Disadv,12226,451
QUEENS,2023,Not Econ Disadv,4721,467
QUEENS,2023,Econ Disadv,12479,451
QUEENS,2023,Not Econ Disadv,4800,465
QUEENS,2023,Econ Disadv,13502,449
QUEENS,2023,Not Econ Disadv,3865,464
QUEENS,2023,Econ Disadv,12796,453
QUEENS,2023,Not Econ Disadv,4705,465
QUEENS,2023,Econ Disadv,6501,443
QUEENS,2023,Not Econ Disadv,1825,449
QUEENS,2023,Econ Disadv,69362,451
QUEENS,2023,Not Econ Disadv,24633,465
QUEENS,2022,Econ Disadv,11760,596
QUEENS,2022,Not Econ Disadv,4936,607
QUEENS,2022,Econ Disadv,12160,595
QUEENS,2022,Not Econ Disadv,4936,606
QUEENS,2022,Econ Disadv,12010,596
QUEENS,2022,Not Econ Disadv,4860,606
QUEENS,2022,Econ Disadv,13234,595
QUEENS,2022,Not Econ Disadv,4034,605
QUEENS,2022,Econ Disadv,12738,598
QUEENS,2022,Not Econ Disadv,4905,606
QUEENS,2022,Econ Disadv,7014,596
QUEENS,2022,Not Econ Disadv,2054,599
QUEENS,2022,Econ Disadv,68916,596
QUEENS,2022,Not Econ Disadv,25725,606
QUEENS,2019,Econ Disadv,14307,600
QUEENS,2019,Not Econ Disadv,5599,609
QUEENS,2019,Econ Disadv,14634,601
QUEENS,2019,Not Econ Disadv,5739,610
QUEENS,2019,Econ Disadv,14919,602
QUEENS,2019,Not Econ Disadv,5675,610
QUEENS,2019,Econ Disadv,15143,600
QUEENS,2019,Not Econ Disadv,5810,609
QUEENS,2019,Econ Disadv,14449,602
QUEENS,2019,Not Econ Disadv,5718,610
QUEENS,2019,Econ Disadv,9318,602
QUEENS,2019,Not Econ Disadv,3250,605
QUEENS,2019,Econ Disadv,82770,601
QUEENS,2019,Not Econ Disadv,31791,609
QUEENS,2018,Econ Disadv,15158,600
QUEENS,2018,Not Econ Disadv,5355,609
QUEENS,2018,Econ Disadv,15634,601
QUEENS,2018,Not Econ Disadv,5256,610
QUEENS,2018,Econ Disadv,15699,600
QUEENS,2018,Not Econ Disadv,5567,609
QUEENS,2018,Econ Disadv,15415,599
QUEENS,2018,Not Econ Disadv,5054,608
QUEENS,2018,Econ Disadv,15013,601
QUEENS,2018,Not Econ Disadv,5155,608
QUEENS,2018,Econ Disadv,9363,602
QUEENS,2018,Not Econ Disadv,2902,606
QUEENS,2018,Econ Disadv,86282,600
QUEENS,2018,Not Econ Disadv,29289,609
STATEN ISLAND,2024,Econ Disadv,2173,452
STATEN ISLAND,2024,Not Econ Disadv,1609,465
STATEN ISLAND,2024,Econ Disadv,2280,458
STATEN ISLAND,2024,Not Econ Disadv,1637,472
STATEN ISLAND,2024,Econ Disadv,2213,451
STATEN ISLAND,2024,Not Econ Disadv,1600,464
STATEN ISLAND,2024,Econ Disadv,2127,451
STATEN ISLAND,2024,Not Econ Disadv,1655,463
STATEN ISLAND,2024,Econ Disadv,2344,461
STATEN ISLAND,2024,Not Econ Disadv,1440,473
STATEN ISLAND,2024,Econ Disadv,1516,448
STATEN ISLAND,2024,Not Econ Disadv,962,462
STATEN ISLAND,2024,Econ Disadv,12653,454
STATEN ISLAND,2024,Not Econ Disadv,8903,467
STATEN ISLAND,2023,Econ Disadv,2423,452
STATEN ISLAND,2023,Not Econ Disadv,1440,468
STATEN ISLAND,2023,Econ Disadv,2346,449
STATEN ISLAND,2023,Not Econ Disadv,1472,466
STATEN ISLAND,2023,Econ Disadv,2535,451
STATEN ISLAND,2023,Not Econ Disadv,1537,466
STATEN ISLAND,2023,Econ Disadv,2458,449
STATEN ISLAND,2023,Not Econ Disadv,1272,463
STATEN ISLAND,2023,Econ Disadv,2142,453
STATEN ISLAND,2023,Not Econ Disadv,1485,469
STATEN ISLAND,2023,Econ Disadv,1461,446
STATEN ISLAND,2023,Not Econ Disadv,1002,463
STATEN ISLAND,2023,Econ Disadv,13365,450
STATEN ISLAND,2023,Not Econ Disadv,8208,466
STATEN ISLAND,2022,Econ Disadv,2292,593
STATEN ISLAND,2022,Not Econ Disadv,1549,607
STATEN ISLAND,2022,Econ Disadv,2525,593
STATEN ISLAND,2022,Not Econ Disadv,1572,607
STATEN ISLAND,2022,Econ Disadv,2495,594
STATEN ISLAND,2022,Not Econ Disadv,1640,606
STATEN ISLAND,2022,Econ Disadv,2312,594
STATEN ISLAND,2022,Not Econ Disadv,1296,605
STATEN ISLAND,2022,Econ Disadv,2208,596
STATEN ISLAND,2022,Not Econ Disadv,1562,609
STATEN ISLAND,2022,Econ Disadv,1322,594
STATEN ISLAND,2022,Not Econ Disadv,826,602
STATEN ISLAND,2022,Econ Disadv,13154,594
STATEN ISLAND,2022,Not Econ Disadv,8445,606
STATEN ISLAND,2019,Econ Disadv,2656,597
STATEN ISLAND,2019,Not Econ Disadv,1778,608
STATEN ISLAND,2019,Econ Disadv,2648,597
STATEN ISLAND,2019,Not Econ Disadv,1788,610
STATEN ISLAND,2019,Econ Disadv,2645,598
STATEN ISLAND,2019,Not Econ Disadv,1846,608
STATEN ISLAND,2019,Econ Disadv,2517,596
STATEN ISLAND,2019,Not Econ Disadv,1735,609
STATEN ISLAND,2019,Econ Disadv,2460,597
STATEN ISLAND,2019,Not Econ Disadv,1755,609
STATEN ISLAND,2019,Econ Disadv,1875,599
STATEN ISLAND,2019,Not Econ Disadv,1388,611
STATEN ISLAND,2019,Econ Disadv,14801,597
STATEN ISLAND,2019,Not Econ Disadv,10290,609
STATEN ISLAND,2018,Econ Disadv,2678,597
STATEN ISLAND,2018,Not Econ Disadv,1771,609
STATEN ISLAND,2018,Econ Disadv,2741,596
STATEN ISLAND,2018,Not Econ Disadv,1805,609
STATEN ISLAND,2018,Econ Disadv,2673,595
STATEN ISLAND,2018,Not Econ Disadv,1868,608
STATEN ISLAND,2018,Econ Disadv,2515,596
STATEN ISLAND,2018,Not Econ Disadv,1684,608
STATEN ISLAND,2018,Econ Disadv,2366,596
STATEN ISLAND,2018,Not Econ Disadv,1684,609
STATEN ISLAND,2018,Econ Disadv,2042,599
STATEN ISLAND,2018,Not Econ Disadv,1418,610
STATEN ISLAND,2018,Econ Disadv,15015,596
STATEN ISLAND,2018,Not Econ Disadv,10230,609
